                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 2.2204,                 1.5841,                 1.3539,                 0.6265,                0.67895,                0.69396,                0.39336,                 1.6232,                 1.2128,                 1.2833,               0.001118,               0.001118,               0.001118
                     34,                 2.2233,                 1.5575,                 1.3522,                0.66097,                0.65835,                0.71619,                0.39864,                 1.6458,                 1.2004,                 1.2798,              0.0011139,              0.0011139,              0.0011139
                     35,                 2.2269,                 1.5674,                 1.3561,                0.64617,                0.65701,                 0.6952,                0.38508,                 1.6078,                 1.2299,                 1.2756,              0.0011098,              0.0011098,              0.0011098
                     36,                 2.2165,                 1.5554,                 1.3478,                0.60639,                0.68176,                0.70393,                0.39755,                 1.5969,                 1.2227,                 1.2677,              0.0011056,              0.0011056,              0.0011056
                     37,                 2.2225,                 1.5508,                 1.3521,                0.65054,                0.67818,                0.69654,                0.39105,                 1.5873,                 1.1863,                 1.2619,              0.0011015,              0.0011015,              0.0011015
                     38,                 2.1973,                 1.5287,                 1.3469,                 0.7031,                0.67206,                0.73165,                0.42147,                 1.5728,                  1.201,                 1.2651,              0.0010974,              0.0010974,              0.0010974
                     39,                 2.2058,                 1.5212,                 1.3473,                0.62415,                0.67312,                0.68942,                0.38345,                 1.7641,                  1.208,                 1.2942,              0.0010933,              0.0010933,              0.0010933
                     40,                 2.2043,                 1.5308,                 1.3451,                0.65424,                 0.6739,                0.70154,                0.39474,                   1.65,                 1.1905,                 1.2921,              0.0010891,              0.0010891,              0.0010891
                     41,                  2.213,                 1.5147,                  1.341,                0.69912,                0.63365,                0.70696,                 0.3944,                  1.651,                 1.1688,                 1.2687,               0.001085,               0.001085,               0.001085
                     42,                 2.2276,                 1.5229,                 1.3408,                0.68978,                0.69849,                0.73386,                0.40566,                 1.6839,                 1.2135,                 1.2747,              0.0010809,              0.0010809,              0.0010809
                     43,                 2.1998,                 1.5177,                 1.3412,                0.69394,                0.69777,                0.73891,                0.40692,                 1.6323,                 1.1624,                 1.2773,              0.0010768,              0.0010768,              0.0010768
                     44,                 2.1874,                 1.4954,                 1.3317,                0.71052,                0.65892,                0.71322,                0.40034,                 1.6476,                 1.1526,                  1.267,              0.0010726,              0.0010726,              0.0010726
                     45,                 2.2215,                 1.5015,                 1.3398,                0.62955,                0.70841,                0.71775,                0.40095,                 1.6057,                 1.1725,                 1.2632,              0.0010685,              0.0010685,              0.0010685
                     46,                 2.2227,                 1.5083,                 1.3348,                0.68826,                0.68158,                0.73151,                0.41665,                 1.7049,                 1.1711,                 1.2733,              0.0010644,              0.0010644,              0.0010644
                     47,                 2.1941,                 1.4892,                 1.3353,                0.67194,                 0.6733,                0.72566,                0.41539,                 1.6741,                 1.1629,                 1.2716,              0.0010603,              0.0010603,              0.0010603
                     48,                 2.2103,                 1.4922,                 1.3386,                0.66385,                0.69111,                0.71492,                0.38654,                 1.7693,                 1.1927,                 1.2964,              0.0010561,              0.0010561,              0.0010561
                     49,                 2.2039,                 1.4977,                 1.3382,                0.67111,                0.67816,                0.73844,                0.42267,                 1.6508,                 1.1533,                  1.257,               0.001052,               0.001052,               0.001052
                     50,                 2.1738,                 1.4874,                 1.3294,                0.66843,                0.72905,                0.74248,                0.41901,                 1.6259,                 1.1351,                  1.259,              0.0010479,              0.0010479,              0.0010479
                     51,                    2.2,                 1.4825,                 1.3356,                0.67812,                0.68837,                0.72584,                0.40581,                 1.6752,                 1.1579,                 1.2729,              0.0010438,              0.0010438,              0.0010438
                     52,                 2.1797,                 1.4803,                 1.3286,                0.68759,                0.70056,                0.74234,                0.41066,                 1.6302,                  1.131,                 1.2685,              0.0010396,              0.0010396,              0.0010396
                     53,                 2.1736,                  1.467,                  1.329,                0.68051,                 0.6799,                0.72948,                0.40933,                  1.654,                  1.179,                 1.2681,              0.0010355,              0.0010355,              0.0010355
                     54,                 2.2044,                 1.4731,                 1.3282,                0.65028,                0.72014,                0.72427,                 0.4142,                 1.6433,                 1.1618,                 1.2679,              0.0010314,              0.0010314,              0.0010314
                     55,                 2.1846,                 1.4775,                 1.3318,                0.69155,                0.71738,                0.75992,                0.43144,                 1.6359,                 1.1317,                 1.2697,              0.0010273,              0.0010273,              0.0010273
                     56,                 2.1915,                 1.4603,                 1.3266,                0.66078,                0.71191,                0.73635,                0.42216,                  1.694,                 1.1249,                 1.2711,              0.0010231,              0.0010231,              0.0010231
                     57,                 2.1691,                 1.4465,                 1.3253,                 0.6216,                0.69817,                0.71631,                0.40257,                  1.648,                 1.1686,                   1.27,               0.001019,               0.001019,               0.001019
                     58,                 2.1596,                 1.4413,                 1.3189,                0.66518,                0.69567,                0.73645,                0.41885,                 1.6449,                 1.1371,                 1.2555,              0.0010149,              0.0010149,              0.0010149
                     59,                 2.1659,                 1.4397,                 1.3235,                0.67905,                0.68445,                0.73591,                0.41242,                 1.6255,                 1.1488,                 1.2582,              0.0010107,              0.0010107,              0.0010107
                     60,                 2.1718,                 1.4517,                 1.3248,                0.67309,                0.69037,                0.73695,                0.41625,                 1.6639,                 1.1003,                  1.271,              0.0010066,              0.0010066,              0.0010066
                     61,                 2.1412,                 1.4265,                 1.3175,                0.66484,                0.71471,                0.73873,                0.41553,                 1.6191,                 1.1501,                 1.2571,              0.0010025,              0.0010025,              0.0010025
                     62,                 2.1452,                 1.4227,                 1.3192,                0.69045,                0.68783,                0.75398,                 0.4314,                  1.613,                 1.1167,                 1.2657,             0.00099837,             0.00099837,             0.00099837
                     63,                 2.1834,                 1.4424,                 1.3225,                0.68414,                0.71917,                0.74564,                0.43049,                 1.6376,                 1.0943,                 1.2577,             0.00099425,             0.00099425,             0.00099425
                     64,                  2.171,                  1.431,                 1.3197,                0.66725,                0.68069,                0.72451,                0.41322,                 1.7042,                 1.1253,                 1.2661,             0.00099013,             0.00099013,             0.00099013
                     65,                 2.1423,                 1.4182,                 1.3134,                0.69121,                 0.6945,                0.74487,                0.42199,                   1.66,                 1.1024,                 1.2685,               0.000986,               0.000986,               0.000986
                     66,                 2.1276,                 1.4024,                 1.3132,                0.67782,                0.71777,                0.75392,                0.43042,                 1.6779,                 1.0954,                 1.2648,             0.00098187,             0.00098187,             0.00098187
                     67,                 2.1414,                 1.4159,                 1.3176,                0.66206,                0.69333,                 0.7329,                0.41694,                 1.6761,                 1.0897,                 1.2652,             0.00097775,             0.00097775,             0.00097775
                     68,                 2.1741,                 1.4176,                 1.3183,                0.68937,                0.68825,                0.74277,                0.41462,                 1.6806,                 1.1018,                 1.2661,             0.00097362,             0.00097362,             0.00097362
                     69,                 2.1431,                 1.4005,                   1.31,                0.68054,                0.71191,                0.75062,                 0.4326,                 1.6617,                 1.0789,                 1.2634,              0.0009695,              0.0009695,              0.0009695
                     70,                  2.146,                 1.4124,                 1.3167,                0.66983,                 0.7298,                0.74604,                0.41434,                 1.6573,                 1.1093,                 1.2795,             0.00096537,             0.00096537,             0.00096537
                     71,                 2.1406,                 1.4031,                 1.3095,                0.68236,                0.67772,                0.73776,                0.42421,                 1.6662,                 1.0877,                 1.2619,             0.00096125,             0.00096125,             0.00096125
                     72,                 2.1336,                  1.398,                 1.3106,                0.68466,                 0.7329,                0.75289,                0.43781,                 1.6415,                  1.074,                 1.2544,             0.00095712,             0.00095712,             0.00095712
                     73,                 2.1326,                 1.3905,                  1.313,                0.69587,                0.69813,                0.75207,                0.42925,                 1.6364,                 1.0807,                 1.2578,               0.000953,               0.000953,               0.000953
                     74,                 2.1613,                 1.3994,                 1.3146,                0.70292,                0.70531,                0.75965,                0.42676,                 1.6876,                 1.0738,                 1.2756,             0.00094887,             0.00094887,             0.00094887
                     75,                 2.1143,                 1.3812,                 1.3087,                0.73179,                0.67096,                0.76267,                0.43609,                 1.6371,                 1.0697,                 1.2681,             0.00094475,             0.00094475,             0.00094475
                     76,                 2.0952,                  1.387,                 1.3054,                0.69262,                0.71258,                0.74104,                0.43293,                 1.6386,                 1.0915,                 1.2623,             0.00094062,             0.00094062,             0.00094062
                     77,                  2.131,                 1.4054,                 1.3106,                0.68183,                0.72367,                0.76549,                0.43247,                 1.6894,                 1.0559,                  1.271,              0.0009365,              0.0009365,              0.0009365
