                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.8702,                 1.2031,                 1.5388,                0.60539,                 0.6926,                0.69455,                0.38403,                   1.71,                 1.1643,                 1.7006,               0.001118,               0.001118,               0.001118
                     34,                  1.825,                 1.1838,                 1.5342,                0.67326,                0.69302,                0.71139,                0.40512,                 1.7198,                 1.0591,                 1.7053,              0.0011139,              0.0011139,              0.0011139
                     35,                 1.8299,                 1.1666,                 1.5413,                0.67405,                0.72564,                0.73301,                0.40955,                 1.7189,                   1.05,                 1.7147,              0.0011098,              0.0011098,              0.0011098
                     36,                 1.8483,                 1.1627,                 1.5266,                0.63951,                 0.5894,                0.64615,                0.35721,                 1.7963,                 1.1902,                 1.7113,              0.0011056,              0.0011056,              0.0011056
                     37,                  1.832,                 1.1435,                  1.535,                0.64646,                0.66069,                0.67745,                0.37465,                 1.8839,                 1.0955,                 1.7335,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.8495,                 1.1644,                 1.5405,                0.59672,                0.68332,                0.67856,                0.38227,                 1.7668,                 1.0974,                 1.6923,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.8193,                 1.1393,                 1.5283,                0.63947,                0.71107,                 0.6945,                0.37633,                 1.8478,                 1.0906,                 1.7447,              0.0010933,              0.0010933,              0.0010933
                     40,                 1.8494,                 1.1366,                  1.532,                0.67469,                0.70506,                0.70978,                0.40174,                 1.6996,                 1.0476,                 1.6992,              0.0010891,              0.0010891,              0.0010891
                     41,                 1.8455,                 1.1083,                 1.5293,                0.69389,                0.65429,                0.69584,                0.38555,                 1.7932,                 1.0716,                  1.712,               0.001085,               0.001085,               0.001085
                     42,                  1.843,                 1.1168,                 1.5311,                0.67509,                0.73006,                0.70893,                0.39957,                 1.7246,                 1.0562,                  1.692,              0.0010809,              0.0010809,              0.0010809
                     43,                 1.8315,                 1.0935,                 1.5184,                0.72317,                0.67819,                0.74058,                0.40657,                 1.8418,                 1.0085,                 1.7281,              0.0010768,              0.0010768,              0.0010768
                     44,                 1.7986,                 1.0956,                 1.5159,                0.66076,                0.74369,                0.73962,                0.41096,                 1.8012,                 1.0101,                  1.719,              0.0010726,              0.0010726,              0.0010726
                     45,                   1.81,                 1.0945,                 1.5271,                0.66566,                0.69539,                0.71483,                0.40131,                 1.7946,                 1.0504,                 1.7283,              0.0010685,              0.0010685,              0.0010685
                     46,                 1.7854,                 1.0923,                 1.5055,                0.69135,                0.71376,                0.73052,                0.41275,                 1.7583,                 1.0318,                  1.694,              0.0010644,              0.0010644,              0.0010644
                     47,                 1.7604,                 1.0604,                 1.5001,                0.68406,                0.66881,                 0.7103,                0.39005,                 1.9416,                 1.0247,                  1.756,              0.0010603,              0.0010603,              0.0010603
                     48,                 1.7725,                 1.0714,                 1.4972,                0.64662,                0.73145,                0.71495,                0.40011,                 1.8674,                 1.0191,                 1.7427,              0.0010561,              0.0010561,              0.0010561
                     49,                 1.7743,                 1.0505,                 1.5023,                0.65474,                0.71553,                0.71692,                0.38726,                 1.9498,                 1.0379,                 1.7629,               0.001052,               0.001052,               0.001052
                     50,                 1.7752,                 1.0427,                 1.5007,                0.66092,                0.74401,                0.74814,                0.41499,                 1.8653,                  1.018,                 1.7369,              0.0010479,              0.0010479,              0.0010479
                     51,                 1.7657,                 1.0445,                 1.4971,                 0.6824,                0.68979,                 0.7276,                0.40641,                 1.9168,                0.99873,                 1.7557,              0.0010438,              0.0010438,              0.0010438
                      0,                 14.283,                  3.383,                 3.7287,                0.11537,                0.10243,                0.04768,                0.01409,                 9.8143,                 3.1593,                  3.434,             0.00041341,             0.00041341,             0.00041341
                      1,                 5.1525,                 2.3658,                 2.5408,                0.38933,                0.28535,                0.16098,                0.05878,                 2.3672,                 2.2948,                 2.3487,             0.00082734,             0.00082734,             0.00082734
                      2,                 3.5196,                 2.1572,                 2.1737,                0.25946,                0.41268,                0.28432,                0.12125,                 1.9481,                 1.9406,                 2.1459,              0.0012385,              0.0012385,              0.0012385
                      3,                 2.9252,                  1.963,                 1.9878,                0.30561,                0.46997,                0.31984,                0.14815,                 1.7021,                  2.051,                 1.9326,              0.0012376,              0.0012376,              0.0012376
                      4,                 2.5448,                  1.864,                 1.8614,                0.30008,                0.53972,                0.38523,                0.18473,                 1.7309,                 1.8109,                  1.912,              0.0012376,              0.0012376,              0.0012376
                      5,                 2.3743,                  1.763,                  1.809,                0.58109,                0.41384,                0.42687,                0.21472,                 1.7081,                 1.6126,                 1.8769,              0.0012335,              0.0012335,              0.0012335
                      6,                 2.2482,                 1.7044,                 1.7498,                0.35464,                0.51673,                0.42542,                0.18404,                 2.0382,                 1.7099,                 1.9749,              0.0012294,              0.0012294,              0.0012294
                      7,                 2.2179,                 1.6903,                 1.7563,                0.36976,                0.51483,                 0.4659,                  0.237,                 1.5425,                 1.5347,                 1.7976,              0.0012252,              0.0012252,              0.0012252
                      8,                 2.1046,                 1.6717,                 1.7243,                0.42941,                0.50059,                0.47499,                0.23505,                 1.6214,                 1.5206,                 1.8356,              0.0012211,              0.0012211,              0.0012211
                      9,                 2.0913,                 1.5924,                 1.6956,                0.37511,                0.57912,                0.48548,                0.23125,                 1.6141,                 1.5582,                 1.8353,               0.001217,               0.001217,               0.001217
                     10,                  2.031,                 1.5649,                 1.7078,                0.53958,                0.50635,                0.52402,                0.25745,                 1.4794,                 1.5732,                 1.7682,              0.0012129,              0.0012129,              0.0012129
                     11,                 2.0335,                 1.5585,                 1.6856,                0.40662,                0.53279,                0.49999,                0.26374,                 1.5847,                  1.494,                 1.7795,              0.0012087,              0.0012087,              0.0012087
                     12,                 1.9617,                 1.5385,                 1.6606,                0.47444,                0.56385,                0.52925,                0.27659,                 1.5317,                 1.4362,                 1.7672,              0.0012046,              0.0012046,              0.0012046
                     13,                 1.9342,                 1.5162,                 1.6615,                0.44535,                0.60893,                0.56227,                0.29258,                 1.4954,                 1.5037,                 1.7408,              0.0012005,              0.0012005,              0.0012005
                     14,                 1.9751,                 1.5006,                  1.656,                0.49748,                0.58926,                0.54367,                 0.2782,                 1.6092,                  1.453,                 1.7712,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.9132,                 1.4544,                 1.6505,                0.53255,                0.55577,                0.55612,                0.29814,                 1.5099,                 1.3957,                 1.7199,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.9231,                 1.4821,                 1.6479,                0.48163,                0.64089,                0.57647,                0.29556,                 1.5141,                 1.3501,                 1.7523,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.8931,                 1.4266,                 1.6331,                0.55035,                0.58968,                0.59834,                0.31302,                 1.4809,                 1.3649,                 1.7079,               0.001184,               0.001184,               0.001184
                     18,                 1.8702,                 1.4391,                 1.6371,                0.49084,                0.53014,                0.54305,                0.27406,                 1.6106,                 1.5091,                 1.7512,              0.0011799,              0.0011799,              0.0011799
                     19,                 1.8726,                 1.4312,                 1.6174,                0.49193,                0.67651,                0.60598,                0.31867,                 1.5734,                 1.3287,                 1.7469,              0.0011757,              0.0011757,              0.0011757
                     20,                 1.8365,                 1.4244,                 1.6278,                0.54441,                0.66566,                0.63342,                0.31994,                 1.5032,                 1.3395,                 1.7488,              0.0011716,              0.0011716,              0.0011716
                     21,                 1.9179,                 1.4105,                 1.6186,                 0.5869,                  0.658,                0.66075,                0.35442,                 1.5059,                 1.2795,                 1.7144,              0.0011675,              0.0011675,              0.0011675
                     22,                 1.7854,                 1.3456,                 1.5948,                0.61047,                0.66367,                0.66024,                0.34716,                 1.6464,                  1.289,                 1.7725,              0.0011634,              0.0011634,              0.0011634
                     23,                 1.8361,                 1.3652,                 1.6123,                0.59583,                0.63903,                0.65586,                0.35119,                 1.5476,                 1.2893,                 1.7172,              0.0011593,              0.0011593,              0.0011593
                     24,                 1.8316,                 1.3714,                 1.6139,                0.59419,                0.66643,                0.66117,                0.36414,                 1.4822,                 1.2509,                 1.7175,              0.0011551,              0.0011551,              0.0011551
                     25,                 1.8083,                 1.3362,                 1.5875,                0.64411,                0.60913,                0.68159,                0.36602,                  1.477,                 1.2353,                 1.7209,               0.001151,               0.001151,               0.001151
                     26,                 1.7926,                 1.3194,                 1.5821,                0.58819,                0.62161,                0.62345,                0.33548,                 1.6416,                 1.3049,                  1.734,              0.0011469,              0.0011469,              0.0011469
                     27,                 1.7873,                 1.3144,                 1.5956,                0.64436,                0.64541,                0.67732,                 0.3586,                 1.5806,                 1.2153,                 1.7625,              0.0011428,              0.0011428,              0.0011428
                     28,                 1.8124,                 1.3038,                 1.5886,                0.57067,                 0.6726,                0.66191,                0.35051,                 1.5867,                 1.2606,                 1.7236,              0.0011386,              0.0011386,              0.0011386
                     29,                 1.8058,                 1.3053,                 1.5871,                0.59216,                0.64791,                0.66834,                0.37541,                 1.5391,                 1.1897,                 1.7184,              0.0011345,              0.0011345,              0.0011345
                     30,                 1.7889,                 1.3052,                 1.5845,                0.64074,                0.56423,                0.63177,                0.34212,                 1.5149,                 1.2811,                 1.7142,              0.0011304,              0.0011304,              0.0011304
                     31,                 1.8085,                 1.2953,                 1.5614,                0.60042,                0.60769,                0.62619,                0.33567,                 1.5679,                 1.2772,                 1.6932,              0.0011263,              0.0011263,              0.0011263
                     32,                 1.7931,                 1.2838,                 1.5767,                0.58037,                 0.6255,                0.64088,                0.36181,                 1.6473,                 1.3685,                 1.6813,              0.0011221,              0.0011221,              0.0011221
                     33,                  1.797,                 1.2865,                 1.5756,                0.60737,                0.62716,                0.67386,                0.37563,                 1.5876,                 1.2494,                 1.6841,               0.001118,               0.001118,               0.001118
                     34,                 1.7835,                 1.2793,                 1.5616,                 0.6114,                0.66229,                0.68748,                0.38742,                  1.439,                 1.1957,                 1.6451,              0.0011139,              0.0011139,              0.0011139
                     35,                  1.788,                 1.2664,                 1.5684,                0.59143,                0.68185,                0.68455,                0.37583,                 1.4932,                 1.1603,                 1.6964,              0.0011098,              0.0011098,              0.0011098
                     36,                 1.7651,                 1.2536,                 1.5641,                0.60048,                0.67282,                0.66222,                0.36742,                  1.535,                 1.2279,                 1.6971,              0.0011056,              0.0011056,              0.0011056
                     37,                 1.7666,                 1.2337,                 1.5583,                0.61299,                0.71886,                0.67433,                0.37391,                 1.5858,                 1.1996,                 1.6927,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.7479,                 1.2482,                 1.5613,                0.58668,                0.68044,                0.67477,                0.37531,                 1.5162,                 1.1878,                 1.6912,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.7497,                 1.2402,                 1.5685,                0.57503,                0.64302,                0.64407,                0.34593,                 1.6002,                 1.2209,                 1.7172,              0.0010933,              0.0010933,              0.0010933
                     40,                 1.7727,                  1.235,                 1.5587,                0.61372,                0.70263,                0.70475,                0.38684,                 1.5644,                 1.1598,                 1.6982,              0.0010891,              0.0010891,              0.0010891
                     41,                 1.7536,                 1.2058,                 1.5427,                0.61276,                 0.6773,                0.69248,                0.38797,                 1.5384,                 1.1646,                 1.6804,               0.001085,               0.001085,               0.001085
                     42,                 1.7428,                 1.1987,                 1.5398,                0.62971,                0.67299,                0.66864,                0.36813,                 1.6212,                 1.2237,                 1.7047,              0.0010809,              0.0010809,              0.0010809
                     43,                 1.7526,                 1.2062,                 1.5497,                0.59767,                 0.6875,                0.66621,                0.37957,                  1.565,                 1.1484,                 1.6777,              0.0010768,              0.0010768,              0.0010768
                     44,                 1.8005,                 1.2083,                 1.5555,                0.68025,                0.63191,                0.68585,                0.36447,                 1.7031,                 1.1821,                 1.7417,              0.0010726,              0.0010726,              0.0010726
                     45,                 1.7327,                 1.1763,                 1.5432,                  0.629,                0.71398,                0.70363,                0.39922,                 1.5307,                 1.1194,                 1.6871,              0.0010685,              0.0010685,              0.0010685
                     46,                 1.7746,                 1.1903,                 1.5441,                0.65244,                 0.6137,                0.68311,                0.37989,                 1.5283,                 1.1798,                 1.6765,              0.0010644,              0.0010644,              0.0010644
                     47,                 1.7895,                 1.1911,                 1.5525,                0.67812,                0.70509,                0.73831,                0.41432,                 1.6502,                  1.103,                 1.7005,              0.0010603,              0.0010603,              0.0010603
                     48,                 1.7638,                 1.1599,                 1.5367,                0.67794,                0.69195,                0.72423,                0.40275,                 1.5736,                 1.1174,                 1.6894,              0.0010561,              0.0010561,              0.0010561
                     49,                 1.7605,                 1.1687,                 1.5431,                0.63081,                0.67768,                0.68192,                0.38775,                 1.5493,                 1.1518,                   1.67,               0.001052,               0.001052,               0.001052
                     50,                 1.7455,                 1.1558,                  1.523,                0.64155,                0.69693,                0.71276,                0.39922,                 1.6021,                 1.1008,                 1.6765,              0.0010479,              0.0010479,              0.0010479
